ID,spell_used,trap_used,character,position,location,assists,damage_amount,towers_damage,rooms_damage,deaths,money_total,kill_death_ratio,kills_total,level,controlling_time,total_damage,earned_damage,special_enemy_killed,room_kills,main_score,target
32,4,3,Jhin,Side.blue,Lane.bot_lane,10.0,1650,3155,1650,10,8418,1.0,0,13,16,99609,18379,154,0,9,False
33,4,11,LeeSin,Side.blue,Lane.jungle,4.0,2415,18080,2415,8,9934,1.125,5,14,14,130581,37121,48,1,31,False
34,4,12,Renekton,Side.blue,Lane.top_lane,1.0,167,167,167,4,5521,0.25,0,11,10,75333,16842,134,0,13,False
35,4,12,Volibear,Side.blue,Lane.top_lane,4.0,7703,15301,7703,6,10869,1.1666666666666667,3,15,22,146197,21988,165,3,17,True
36,12,4,Sylas,Side.blue,Lane.mid_lane,6.0,571,2325,571,6,8801,1.6666666666666667,4,13,24,85718,24136,135,0,15,False
37,4,11,XinZhao,Side.blue,Lane.jungle,6.0,0,5905,0,6,9272,2.0,6,13,27,114534,37369,36,0,31,False
38,4,7,Jhin,Side.red,Lane.bot_lane,12.0,2055,6725,2055,5,10132,3.4,5,14,15,98069,12857,144,1,29,True
39,4,3,Aphelios,Side.red,Lane.bot_lane,4.0,7992,13155,7992,9,18078,1.8888888888888888,13,16,22,217186,25413,253,2,32,False
40,4,12,Poppy,Side.blue,Lane.top_lane,3.0,3171,3171,3171,1,7612,8.0,5,12,28,76632,10999,124,1,14,True
41,3,4,Lucian,Side.red,Lane.bot_lane,2.0,2834,7804,2834,6,7409,0.6666666666666666,2,13,1,77801,12002,125,1,15,True
42,4,12,Renekton,Side.blue,Lane.top_lane,3.0,2158,2158,2158,3,8985,1.6666666666666667,2,13,20,101798,20946,164,1,12,False
43,12,4,Gragas,Side.blue,Lane.top_lane,10.0,3389,19370,3389,9,12092,1.8888888888888888,7,15,37,120567,24360,124,2,23,True
44,4,12,Vex,Side.blue,Lane.mid_lane,3.0,1267,1267,1267,5,9845,1.8,6,13,19,99792,13869,149,0,9,False
45,4,14,Braum,Side.red,Lane.utility,15.0,246,534,246,3,7895,5.333333333333333,1,14,30,24225,15219,39,0,76,True
46,11,4,RekSai,Side.blue,Lane.jungle,2.0,3855,25140,3855,0,8567,10.0,8,11,11,99595,11887,14,2,10,True
47,3,4,Ezreal,Side.red,Lane.bot_lane,11.0,8709,13434,8709,3,16293,6.0,7,17,6,243681,20424,284,4,29,True
48,4,11,XinZhao,Side.blue,Lane.jungle,7.0,598,10757,598,3,10892,4.0,5,15,19,162152,38138,42,0,13,True
49,4,12,Fiora,Side.red,Lane.top_lane,4.0,7459,22320,7459,6,13915,1.5,5,18,7,203647,38900,222,2,33,True
50,4,12,Yasuo,Side.red,Lane.mid_lane,5.0,0,920,0,11,9395,0.8181818181818182,4,13,11,109497,23449,169,0,8,False
51,4,7,Jinx,Side.red,Lane.bot_lane,11.0,9077,32346,9077,3,15745,6.666666666666667,9,17,14,224991,14241,255,4,48,True
52,14,4,Taric,Side.red,Lane.utility,15.0,1857,4856,1857,3,7070,5.333333333333333,1,12,12,18158,12205,31,2,51,True
53,4,12,Ziggs,Side.red,Lane.mid_lane,8.0,44162,50169,44162,5,17598,3.8,11,17,19,323127,20093,254,7,19,True
54,4,14,Lulu,Side.red,Lane.utility,12.0,596,596,596,2,5879,7.5,3,9,11,9808,5251,10,0,29,True
55,4,12,Fiora,Side.red,Lane.top_lane,5.0,6742,9609,6742,5,12821,2.8,9,16,13,114987,38468,164,1,16,True
56,7,4,Jinx,Side.red,Lane.bot_lane,14.0,7385,15774,7385,5,14658,4.6,9,16,16,154495,16759,183,4,36,True
57,4,11,Viego,Side.red,Lane.jungle,15.0,5043,51128,5043,5,17030,4.8,9,18,23,262105,31399,61,5,43,True
58,11,4,RekSai,Side.red,Lane.jungle,16.0,1651,23832,1651,9,12195,2.111111111111111,3,16,16,178642,35382,31,0,24,False
59,4,14,Vex,Side.red,Lane.utility,21.0,620,1120,620,9,12026,2.888888888888889,5,16,49,66432,29845,25,0,65,True
60,14,4,Leona,Side.red,Lane.utility,14.0,2042,2156,2042,7,8619,2.142857142857143,1,14,41,22710,20841,30,1,63,True
61,4,12,TwistedFate,Side.blue,Lane.mid_lane,10.0,3231,7093,3231,5,15082,3.8,9,17,53,162097,20782,228,1,27,True
62,4,3,Jinx,Side.blue,Lane.bot_lane,4.0,1082,2718,1082,7,9885,1.0,3,13,14,117707,17795,186,0,11,False
63,4,11,Vi,Side.red,Lane.jungle,13.0,1997,18130,1997,3,11507,5.0,2,16,23,139892,23826,34,0,17,True
64,4,11,LeeSin,Side.blue,Lane.jungle,16.0,1174,24040,1174,7,14877,3.7142857142857135,10,17,24,182445,45501,31,1,27,True
65,4,12,Irelia,Side.blue,Lane.top_lane,2.0,2787,3436,2787,5,7872,0.8,2,12,7,117766,23195,160,1,14,True
66,4,14,Gragas,Side.red,Lane.utility,14.0,282,2332,282,5,8149,3.6,4,13,33,30075,18428,30,1,58,True
67,4,7,Janna,Side.red,Lane.utility,13.0,1616,5305,1616,3,10411,6.0,5,15,40,38409,13063,26,0,89,True
68,4,12,Karthus,Side.blue,Lane.bot_lane,2.0,1878,11332,1878,10,13878,0.5,3,16,16,218728,24323,243,0,34,False
69,4,7,Jhin,Side.red,Lane.bot_lane,10.0,6648,13896,6648,6,14442,3.333333333333333,10,15,24,199545,20652,227,2,10,False
70,4,11,XinZhao,Side.blue,Lane.jungle,0.0,0,7165,0,6,6000,1.0,6,9,11,51433,15391,9,0,16,False
71,4,7,Lucian,Side.red,Lane.bot_lane,6.0,11679,17768,11679,2,15779,7.0,8,14,2,201263,18456,267,4,46,True
72,4,11,Gragas,Side.blue,Lane.jungle,5.0,64,10345,64,12,9974,0.6666666666666666,3,13,22,120073,33988,35,0,31,False
73,4,12,Corki,Side.blue,Lane.mid_lane,3.0,8370,15208,8370,2,15008,7.5,12,16,4,181728,15746,221,4,24,True
74,7,4,MissFortune,Side.red,Lane.bot_lane,6.0,5431,12700,5431,3,9019,3.0,3,12,6,85413,7524,152,2,6,True
75,7,4,Lucian,Side.red,Lane.bot_lane,9.0,6234,26772,6234,3,18995,6.0,9,18,4,297633,24809,302,2,59,True
76,11,6,Hecarim,Side.blue,Lane.jungle,11.0,1113,48756,1113,3,16189,8.333333333333334,14,18,31,228233,48796,18,1,33,True
77,12,4,Seraphine,Side.red,Lane.mid_lane,9.0,0,4348,0,7,10323,1.7142857142857142,3,15,37,143642,15166,190,0,24,False
78,11,4,Ekko,Side.blue,Lane.jungle,6.0,886,15231,886,7,8618,1.5714285714285714,5,12,11,107764,21948,29,1,17,False
79,4,12,Lux,Side.blue,Lane.mid_lane,14.0,3683,12458,3683,6,13399,3.6666666666666665,8,17,30,140953,16389,207,3,39,True
80,12,4,TahmKench,Side.red,Lane.top_lane,13.0,1350,5026,1350,7,8713,2.142857142857143,2,15,26,59211,32777,97,0,27,True
81,4,12,Leblanc,Side.red,Lane.mid_lane,6.0,601,1434,601,1,8305,9.0,3,13,14,96946,10768,155,0,18,True
82,6,4,Tryndamere,Side.red,Lane.top_lane,3.0,3994,4664,3994,3,8359,2.333333333333333,4,13,5,98133,16893,138,1,10,True
83,4,7,Tristana,Side.red,Lane.bot_lane,4.0,818,818,818,12,11661,0.75,5,14,6,123948,27377,187,1,19,False
84,11,4,XinZhao,Side.red,Lane.jungle,7.0,445,15611,445,8,7570,1.125,2,11,23,100374,30850,27,1,18,False
85,4,14,Zed,Side.blue,Lane.mid_lane,7.0,2541,2856,2541,6,13161,3.5,14,15,8,129410,20241,144,1,18,True
86,4,11,Graves,Side.blue,Lane.jungle,4.0,1525,27414,1525,5,10704,1.6,4,13,10,161724,17338,25,3,39,False
87,12,4,Sion,Side.blue,Lane.top_lane,4.0,3421,3421,3421,2,7957,4.5,5,12,26,87896,14873,140,0,20,True
88,14,4,Blitzcrank,Side.red,Lane.utility,18.0,272,889,272,5,7083,3.6,0,11,32,17266,12711,29,0,55,True
89,11,6,Olaf,Side.red,Lane.jungle,6.0,4452,27486,4452,1,9931,10.0,4,14,11,147874,22206,19,1,37,True
90,14,4,Alistar,Side.blue,Lane.utility,7.0,0,0,0,9,4755,0.8888888888888888,1,9,12,8791,12546,29,0,28,False
91,4,14,Zed,Side.red,Lane.mid_lane,5.0,1866,9115,1866,4,12114,5.0,15,15,7,125505,18761,146,0,25,True
92,21,4,Warwick,Side.blue,Lane.top_lane,6.0,3219,5520,3219,9,14114,1.4444444444444444,7,16,29,167974,47961,227,1,18,False
93,11,4,Viego,Side.blue,Lane.jungle,3.0,1534,7947,1534,5,10623,2.6,10,13,18,104421,22314,16,1,23,False
94,14,4,Vex,Side.red,Lane.utility,14.0,354,1708,354,9,10864,2.111111111111111,5,14,26,62924,19497,39,0,75,False
95,4,14,Akshan,Side.red,Lane.top_lane,2.0,4248,4248,4248,7,8616,0.2857142857142857,0,13,0,115366,16687,180,1,10,False
96,4,14,Shen,Side.blue,Lane.top_lane,2.0,610,2785,610,1,6568,5.0,3,11,15,50769,9497,131,1,13,True
97,12,4,Corki,Side.blue,Lane.mid_lane,5.0,1031,3587,1031,8,9349,0.875,2,14,1,107206,19076,183,0,17,True
98,4,7,Sona,Side.blue,Lane.utility,15.0,1267,1796,1267,5,7473,3.0,0,14,14,24223,13761,34,0,52,False
99,11,4,Zed,Side.red,Lane.jungle,1.0,0,6497,0,6,4788,0.3333333333333333,1,9,3,74779,13922,6,0,10,False
100,4,12,Leblanc,Side.blue,Lane.mid_lane,11.0,4504,7827,4504,2,13418,7.0,3,17,22,170117,20240,230,2,35,False
101,4,11,Qiyana,Side.blue,Lane.jungle,9.0,0,19930,0,5,12410,2.4,3,16,19,235117,27840,30,0,27,False
102,11,4,Trundle,Side.red,Lane.jungle,6.0,0,3625,0,7,9113,1.5714285714285714,5,14,29,86342,36985,25,0,37,False
103,4,14,Lissandra,Side.red,Lane.mid_lane,5.0,1684,5488,1684,5,9411,1.8,4,14,25,104946,12089,153,0,13,True
104,4,11,Talon,Side.blue,Lane.jungle,5.0,4972,23465,4972,4,11673,3.5,9,14,3,140350,21427,28,3,30,True
105,4,14,Karma,Side.blue,Lane.utility,19.0,2264,5903,2264,3,8227,7.0,2,13,21,30439,11235,18,0,65,True
106,4,11,Graves,Side.red,Lane.jungle,4.0,0,23960,0,8,10179,0.75,2,14,9,179256,26751,44,0,41,False
107,4,11,Evelynn,Side.blue,Lane.jungle,19.0,1927,28935,1927,4,15724,7.5,11,18,16,217777,33250,35,2,33,True
108,12,4,Renekton,Side.blue,Lane.top_lane,8.0,4684,6036,4684,7,14193,2.142857142857143,7,17,23,192542,49310,249,2,13,False
109,12,4,Renekton,Side.red,Lane.top_lane,9.0,4088,5840,4088,7,16063,1.8571428571428568,4,18,18,226144,56587,260,3,46,True
110,4,6,Vladimir,Side.red,Lane.mid_lane,1.0,2041,3212,2041,1,7756,5.0,4,12,2,84191,9829,157,1,9,True
111,4,14,Qiyana,Side.blue,Lane.mid_lane,2.0,1574,5050,1574,6,12106,1.8333333333333333,9,15,15,119710,18109,189,1,20,False
112,11,4,Viego,Side.blue,Lane.jungle,3.0,1687,14911,1687,7,7968,1.0,4,12,11,113550,27308,19,1,8,False
113,14,4,Twitch,Side.red,Lane.mid_lane,7.0,2283,2283,2283,9,11843,1.7777777777777777,9,14,8,87734,23536,150,1,16,False
114,4,11,Nidalee,Side.red,Lane.jungle,6.0,5601,32276,5601,4,13701,4.25,11,16,3,184264,27566,29,5,24,True
115,11,4,Ekko,Side.blue,Lane.jungle,3.0,248,1751,248,4,7928,2.0,5,12,10,105188,18075,23,0,30,False
116,4,3,Jinx,Side.blue,Lane.bot_lane,7.0,11970,22958,11970,6,15094,3.5,14,15,13,167771,18952,193,6,26,True
117,4,12,Corki,Side.red,Lane.mid_lane,0.0,166,244,166,3,7136,0.6666666666666666,2,11,0,72485,6019,151,0,15,False
118,12,4,Graves,Side.red,Lane.top_lane,9.0,4521,11602,4521,10,11556,1.3,4,15,10,167203,29447,175,2,31,False
119,4,3,Bard,Side.blue,Lane.utility,23.0,274,1084,274,5,8951,5.4,4,13,31,18968,18140,20,0,82,True
120,4,14,Jax,Side.blue,Lane.top_lane,1.0,6582,6582,6582,1,10276,6.0,5,13,3,108183,6961,157,2,10,True
121,4,14,Karma,Side.red,Lane.utility,16.0,1782,3768,1782,4,12015,4.75,3,18,28,82699,17294,78,0,127,True
122,4,14,Nami,Side.red,Lane.utility,24.0,1842,2012,1842,3,8592,8.666666666666666,2,13,20,17063,9937,8,1,65,True
123,4,11,Viego,Side.blue,Lane.jungle,4.0,705,36132,705,0,15802,17.0,13,17,15,236278,31442,45,0,24,True
124,4,14,Nautilus,Side.blue,Lane.utility,15.0,0,1273,0,8,9508,2.0,1,15,58,29498,20930,43,0,100,True
125,12,4,Poppy,Side.red,Lane.top_lane,5.0,3540,3540,3540,7,11224,1.2857142857142858,4,15,25,135092,31038,186,3,26,False
126,12,4,Ryze,Side.red,Lane.mid_lane,2.0,2565,2565,2565,6,9193,0.6666666666666666,2,12,32,123933,15304,181,2,12,False
127,4,3,Karthus,Side.blue,Lane.bot_lane,6.0,2441,5295,2441,14,15111,1.2857142857142858,12,15,15,148627,22200,175,2,25,False
128,4,11,Qiyana,Side.blue,Lane.jungle,13.0,3286,29268,3286,3,10877,6.0,5,13,18,153701,23441,22,3,28,True
129,4,7,MissFortune,Side.blue,Lane.bot_lane,3.0,448,1920,448,6,11739,1.6666666666666667,7,14,8,137257,20259,207,0,28,False
130,4,7,Janna,Side.red,Lane.utility,13.0,1616,5305,1616,3,10411,6.0,5,15,40,38409,13063,26,0,89,True
131,12,4,Corki,Side.blue,Lane.mid_lane,10.0,2376,8747,2376,10,11198,1.5,5,15,4,102877,19757,150,1,20,True
132,3,14,Yuumi,Side.red,Lane.utility,14.0,830,938,830,7,9786,2.571428571428572,4,14,22,14990,14898,8,0,81,False
133,4,14,Lulu,Side.red,Lane.utility,7.0,805,1085,805,10,7835,1.0,3,11,32,24566,17452,20,0,63,False
134,7,4,Soraka,Side.red,Lane.utility,4.0,0,2075,0,3,5126,1.6666666666666667,1,10,22,9465,10438,19,0,16,False
135,4,12,Vladimir,Side.blue,Lane.bot_lane,9.0,4695,10150,4695,2,9816,6.0,3,13,5,105720,19381,173,2,26,True
136,11,4,Rengar,Side.red,Lane.jungle,3.0,0,9292,0,6,8577,0.8333333333333334,2,13,15,140554,35764,26,0,25,False
137,4,3,Nami,Side.red,Lane.utility,24.0,71,154,71,9,8717,2.7777777777777777,1,15,28,13508,20430,21,0,98,False
138,12,4,Sion,Side.red,Lane.top_lane,2.0,5856,7262,5856,10,16500,0.4,2,18,25,276311,78861,333,3,28,False
139,3,4,Jhin,Side.red,Lane.bot_lane,2.0,2731,3107,2731,1,7664,6.0,4,11,11,69698,7263,157,0,13,True
140,14,12,Camille,Side.blue,Lane.top_lane,10.0,4138,8622,4138,4,12355,5.0,10,16,14,117065,26247,163,1,24,True
141,4,11,Nidalee,Side.blue,Lane.jungle,4.0,296,14460,296,6,10245,1.6666666666666667,6,13,2,138065,25855,13,0,31,False
142,4,11,LeeSin,Side.blue,Lane.jungle,5.0,876,6453,876,3,8391,2.333333333333333,2,12,11,116843,23681,17,1,26,False
143,4,12,Orianna,Side.blue,Lane.mid_lane,7.0,5957,6159,5957,2,10357,5.5,4,13,17,100423,10419,171,1,15,True
144,4,11,Skarner,Side.red,Lane.jungle,5.0,0,17222,0,3,8233,3.6666666666666665,6,11,37,106814,16556,14,0,13,False
145,4,3,Soraka,Side.red,Lane.utility,27.0,1036,3128,1036,4,8364,7.25,2,14,34,13304,12211,3,1,40,True
146,4,7,Aphelios,Side.red,Lane.bot_lane,3.0,1822,5808,1822,7,7764,0.5714285714285714,1,11,6,74325,14093,162,0,9,False
147,11,4,Kindred,Side.red,Lane.jungle,19.0,6415,20978,6415,8,14546,3.125,6,17,7,204225,29698,56,3,49,True
148,11,4,Zed,Side.red,Lane.jungle,5.0,3439,35010,3439,3,15128,7.0,16,16,5,185940,22724,48,2,19,True
149,21,4,Warwick,Side.red,Lane.top_lane,2.0,386,4207,386,11,12406,0.9090909090909092,8,16,32,133280,54429,194,0,19,False
150,14,4,Lulu,Side.blue,Lane.utility,18.0,2404,3759,2404,3,8383,7.333333333333333,4,13,20,14092,10520,4,1,54,True
151,12,4,Kayle,Side.blue,Lane.mid_lane,8.0,3592,4844,3592,2,11384,6.5,5,14,10,128370,13010,184,1,9,True
152,4,11,Talon,Side.red,Lane.jungle,5.0,643,24100,643,8,10952,1.25,5,14,6,178738,30308,18,1,23,True
153,14,4,Thresh,Side.red,Lane.utility,12.0,60,1377,60,9,7548,1.3333333333333333,0,13,34,30389,24297,37,0,102,False
154,4,7,Jinx,Side.red,Lane.bot_lane,12.0,11658,30001,11658,3,12744,6.333333333333333,7,15,8,166770,13776,166,6,32,True
155,4,7,Caitlyn,Side.blue,Lane.bot_lane,5.0,6423,12909,6423,4,14829,2.75,6,14,17,217207,9334,269,2,32,False
156,4,3,Lucian,Side.red,Lane.mid_lane,1.0,780,3343,780,7,7473,0.4285714285714285,2,12,2,75842,13076,134,0,14,False
157,3,4,Lucian,Side.red,Lane.bot_lane,5.0,2768,3409,2768,4,9741,1.75,2,13,1,127084,12307,216,1,30,False
158,14,4,Irelia,Side.blue,Lane.mid_lane,11.0,4894,7395,4894,8,12417,1.5,1,15,14,172445,31151,226,3,22,False
159,4,11,Zed,Side.blue,Lane.jungle,5.0,0,6676,0,5,13935,3.2,11,16,9,198638,30109,55,0,53,True
160,4,11,Lillia,Side.red,Lane.jungle,12.0,213,21563,213,6,15853,3.8333333333333335,11,18,24,238481,44662,59,0,36,True
161,4,14,Nami,Side.red,Lane.utility,21.0,2126,2391,2126,5,8887,4.6,2,13,24,11328,11452,8,2,80,True
162,11,4,Kayn,Side.red,Lane.jungle,5.0,0,16638,0,1,11762,16.0,11,14,13,170798,25013,38,1,19,True
163,4,3,Karthus,Side.red,Lane.bot_lane,3.0,50,50,50,13,14035,1.0769230769230769,11,15,26,167251,22398,223,0,15,False
164,4,11,Trundle,Side.blue,Lane.jungle,12.0,10825,40581,10825,2,12691,10.0,8,14,17,155854,35395,57,7,30,True
165,6,4,Darius,Side.red,Lane.top_lane,3.0,7762,17942,7762,9,15413,1.4444444444444444,10,15,21,152888,33866,204,3,27,False
166,4,7,Draven,Side.blue,Lane.bot_lane,5.0,3997,14809,3997,7,10284,1.7142857142857142,7,11,3,95204,14386,136,2,8,True
167,4,21,Jhin,Side.blue,Lane.bot_lane,9.0,5616,23170,5616,8,12902,1.625,4,16,21,197759,20720,209,2,24,True
168,14,12,Camille,Side.blue,Lane.top_lane,12.0,5717,11576,5717,5,11815,4.0,8,15,18,110914,25142,149,1,28,True
169,4,11,Kindred,Side.red,Lane.jungle,6.0,451,20655,451,5,8484,1.6,2,12,2,116340,19406,27,1,24,False
170,12,4,Viktor,Side.red,Lane.top_lane,4.0,0,2691,0,6,9904,0.8333333333333334,1,16,15,152226,23150,208,0,13,False
171,4,12,Irelia,Side.blue,Lane.mid_lane,4.0,2450,4699,2450,2,11341,6.0,8,14,10,141168,17396,196,1,18,True
172,12,4,Irelia,Side.red,Lane.top_lane,5.0,6538,24859,6538,5,12776,2.4,7,15,8,153008,25170,203,2,22,True
173,12,14,Riven,Side.blue,Lane.top_lane,6.0,0,1011,0,11,8938,1.0,5,13,18,67975,20670,101,0,10,False
174,4,12,Viktor,Side.red,Lane.mid_lane,2.0,961,961,961,8,9966,0.625,3,14,9,124589,19270,210,1,19,False
175,14,3,Yuumi,Side.red,Lane.utility,11.0,90,3672,90,6,5330,1.8333333333333333,0,11,8,9472,7564,4,0,24,False
176,4,14,Nami,Side.blue,Lane.utility,9.0,3752,3752,3752,1,6779,12.0,3,10,11,16112,5459,13,0,16,True
177,14,4,Akshan,Side.blue,Lane.top_lane,4.0,3241,3241,3241,5,10517,1.6,4,14,0,117494,18054,187,0,38,False
178,4,12,Kassadin,Side.red,Lane.mid_lane,5.0,3113,5159,3113,5,12873,3.0,10,15,15,111239,18433,174,1,11,False
179,4,3,Lulu,Side.blue,Lane.utility,19.0,2689,3328,2689,3,9186,8.333333333333334,6,12,29,13984,10231,15,0,80,True
180,14,4,Karma,Side.blue,Lane.utility,17.0,2592,4116,2592,3,9825,6.666666666666667,3,15,31,25021,14632,19,1,68,True
181,4,7,Draven,Side.blue,Lane.bot_lane,4.0,3088,3247,3088,10,10997,0.7,3,13,6,139309,26168,192,1,7,False
182,14,4,Zed,Side.blue,Lane.mid_lane,3.0,791,791,791,3,10569,2.6666666666666665,5,14,3,142062,13330,201,0,13,False
183,4,12,Syndra,Side.red,Lane.mid_lane,9.0,461,506,461,7,12596,1.8571428571428568,4,17,28,162803,22725,231,1,24,False
184,4,14,Leona,Side.blue,Lane.utility,11.0,411,411,411,3,6559,4.333333333333333,2,11,32,14754,10531,37,0,71,True
185,3,4,Jhin,Side.red,Lane.bot_lane,7.0,3808,13977,3808,6,16204,2.333333333333333,7,16,35,275541,25241,291,1,40,False
186,4,14,Zed,Side.blue,Lane.mid_lane,4.0,911,911,911,2,9767,6.0,8,14,2,99355,10923,154,0,5,True
187,4,11,LeeSin,Side.blue,Lane.jungle,18.0,0,10028,0,4,12459,7.0,10,15,21,138270,29617,32,0,24,True
188,4,14,Nami,Side.blue,Lane.utility,13.0,93,375,93,5,6827,2.6,0,12,19,7857,11547,8,0,59,True
189,7,4,Lucian,Side.blue,Lane.bot_lane,5.0,509,2526,509,17,13430,0.6470588235294118,6,16,5,179873,29250,222,0,35,True
190,4,14,Karma,Side.blue,Lane.utility,19.0,2376,5453,2376,9,9917,2.333333333333333,2,15,34,43180,19551,26,1,89,True
191,4,12,Yone,Side.blue,Lane.top_lane,8.0,4764,8576,4764,3,10871,5.333333333333333,8,15,20,126658,16969,177,1,22,True
192,3,4,Aphelios,Side.blue,Lane.bot_lane,7.0,10142,15499,10142,3,10535,3.6666666666666665,4,12,13,131614,13437,167,6,28,True
193,4,14,Leona,Side.red,Lane.utility,10.0,0,0,0,6,5438,1.8333333333333333,1,9,25,14362,11021,23,0,35,False
194,4,12,Cassiopeia,Side.red,Lane.mid_lane,9.0,9992,30106,9992,9,21170,2.2222222222222223,11,18,33,319899,38971,319,2,50,False
195,4,3,Lucian,Side.blue,Lane.bot_lane,4.0,885,885,885,9,6606,0.6666666666666666,2,10,2,61995,12672,108,0,19,False
196,4,11,Gragas,Side.blue,Lane.jungle,13.0,1091,19115,1091,2,9806,10.0,7,13,40,102549,20266,31,2,12,True
197,4,12,Singed,Side.red,Lane.mid_lane,3.0,0,229,0,5,6679,1.2,3,11,17,60301,13121,97,0,9,False
198,4,14,Lulu,Side.blue,Lane.utility,14.0,1983,2480,1983,7,7968,2.2857142857142856,2,12,14,12503,13178,12,0,63,True
199,4,14,Fizz,Side.red,Lane.mid_lane,3.0,260,260,260,10,10639,1.2,9,14,16,88638,24232,155,0,10,False
200,4,11,JarvanIV,Side.blue,Lane.jungle,3.0,536,8308,536,7,6102,0.7142857142857143,2,10,15,87414,19611,28,0,13,False
201,4,14,Lulu,Side.red,Lane.utility,15.0,724,1524,724,3,8993,6.0,3,13,30,16552,9379,18,0,68,True
202,4,12,Syndra,Side.red,Lane.top_lane,9.0,3772,7471,3772,5,11064,2.6,4,15,37,129542,21079,179,2,22,True
