ID,Text,target
114,i cant help looking back on the child i was and feeling rather jealous but i am also delighted to be living in a time when a nine year old child in some parts of the world can read a thousand books a year if she he wishes and is able to,anger
115,i feel overly distracted so tabby and i started again working on the paths and the routes we have here through the woods down to the big creek and around the former second meadow,anger
116,i felt like i was losing control of my body and it was hard for me to feel calm and positive about that because it wasn t an irrational thought,joy
117,i went to see my pcm on post for a follow up appointment and i left feeling hopeful and optimistic,joy
118,i woke up today feeling pissed off,anger
119,i had been feeling scared about being an ra because there is a lot of work that goes into that job,fear
120,i guess the mild pain had made me feel even more impatient to just get on with it,anger
121,i feel a violent urge to vomit and back out of the room,anger
122,i get the feeling people think im indecisive and childish which isnt entirely true not to the degree that i show it anyway,fear
123,i had felt kind of ick but just figured it was nerves or feeling anxious,fear
124,i feel like i want to be very very rebellious until they regret of what they have done to their single daughter,anger
125,im looking good and feeling good other than this crappy cold im dealing with,joy
126,i do do what i do it always feels worthwhile as soon as i step foot in that stadium wherever it might be in the world i feel at home,joy
127,when i was cycling past a parked car someone opened the door and nearly pushed me off my bike and into the traffic,fear
128,im taking advantage of feeling artistic incase it runs away again bell had her baby the other day yay,joy
129,i seriouly feel i am not being respected i dont have my privacy i am being ordered around,joy
130,id be more use at that level which would make the job feel more worthwhile and the season is basically half as long,joy
131,i do i hold onto them i look into their eyes and breath them in and i feel immensely deeply thankful,joy
132,i got home i started to feel weird,fear
133,i feel like a little kid whose mom is proud that they touched the soccer ball once during the game,joy
134,i actually feel frightened of people here right now,fear
135,i also always feel a little scared,fear
136,i was feeling cold and wet most of the time,anger
137,i feel that way makes me even more angry,anger
138,i cant help feeling mad at this man,anger
139,i feel like the thing im most nervous about is having two kids,fear
140,i don t want to cry either because i know she ll think i feel tortured having to eat the black part of the rice,anger
141,i feel so uncertain about everything right now,fear
142,i remember feeling nervous that i wasnt progressing so i was so thrilled,fear
143,i feel so impatient when it comes to certain issues,anger
144,i am beginning to feel startled by how little of last week i remember,fear
145,i feel outraged that my life is so easy so blessed,anger
146,i hang out i leave feeling energized and happy,joy
147,i began to feel agitated slightly dizzy amp very hungry,fear
148,i can begin to process the emotions i am also feeling from a pregnancy which would have been welcomed if it had been under different physical conditions but these thoughts are for my next blog,joy
149,i walk in a conventional classroom my senses feel assaulted by all the stuff on the walls hanging from the ceiling and covering all the surfaces,fear
150,i do feel very successful right now,joy
151,i feel oddly peaceful,joy
152,i imagine ill eventually migrate to the middle but even alone that feels greedy to me,anger
153,i was feeling strong and ready,joy
154,i can not drop this class because then i lose the financial aid for not having enough credits plus i feel like a quitter and im too stubborn for that,anger
155,im pretty happy but a little on the nauseated side to feel thrilled,joy
156,i felt like i had went so far now it feels like my world was shaken just the other day,fear
157,i didn t feel particularly mad of course they say that when you are going crazy you really feel like you are becoming more sane,anger
158,i were to stop there no doubt you d leave feeling dissatisfied,anger
159,i don t just mean that the sensations we experience influence our moods i m not simply pointing out that say discomfort in our bodies makes us feel irritable,anger
160,i notice that i feel a little apprehensive even to share all this,fear
161,i got a stitch in my side during the first mile couldnt feel my feet it was so cold etc etc,anger
162,im feeling quite joyful today,joy
163,im feeling really hateful and disgruntled about my job but i sure hope i dont lose it for being late,anger
164,i guess just like a porn star looking at a inch rubber dong i m feeling a bit hesitant about the whole thing,fear
165,i am designing games it really makes me feel excited,joy
166,i feel pressured and can not move on to other items in our wedding checklists,fear
167,i usually feel suspicious and guilty about this considering how little i do during my work day,fear
168,i reply because they make me feel pretty,joy
169,i feel apprehensive while opening the blue door,fear
170,i feel uptight is it any wonder i dont know whats right,fear
171,i came up with the following i m drawing a blank as to what this is called to help me when i am feeling fearful or attacked,fear
172,i didnt feel much maybe just a sting but i was terrified because i didnt know if it was going to hurt or not if there would be a problem and if he knew what he was doing really who does in this situation,fear
173,i love autumn and everything that comes with it although i feel i am getting excited for christmas way too early this year me and my friends including a href http andthenwear,joy
174,i wanted to feel assured,joy
175,i feel like a tree which is being shaken rudely from its comfortable ground,fear
176,i never thought id feel so much as a jot of sympathy for hussein whom i always viewed as a jumped up petty thug whatever my thoughts may be about actions against his administration,anger
177,i have to have it done but i feel terrified of another intrusion to my body,fear
178,im feeling awfully irritated and worried and for a few good reasons,anger
179,i always dread that part of the meeting although dont think i didnt shoot my hand up into the air feeling all superior week when i lost,joy
180,i really am feeling horribly irritable and a little bit depressed,anger
181,i can do to that would truly express the utter gratitude and thankfulness i feel for your sincere gesture and i am very grateful,joy
182,i woke up on the sofa feeling extremely agitated around pm,fear
183,i mean i feel i feel like the i feel the burden i cant breathe and suddenly im terrified of october what have i been doing the past weeks,fear
184,i feel welcomed cared for and ready to be pleased,joy
185,i feel a strange sense of foreboding,fear
186,i feel fooled played and now relieved,joy
187,i mean i could literally feel him feeling content,joy
188,i still feel vulnerable around him,fear
189,i or you are feeling adventurous you can buy k ji kin spores by mailorder and make your own kome k ji using the rice of your choice,joy
190,i feel like you didnt really care that alexis did that to me and you were irritated that i was even telling you,anger
191,i look around at the people around me and i feel almost slightly envious about how they have a way of motivating themselves sitting down and studying so hard,anger
192,i also feel extremely blessed to be marrying into such a loving family,joy
193,i really hate that feeling when youre unsure about something,fear
194,im supposed to stay in the lively room but as an explorer i feel that the lively room simply does not have enuff to offer me and have decided to move on to the stairs bedrooms and baffroom,joy
195,i feel like i have been faithful enough that i have proved myself and paid my dues but faith is not stagnate,joy
196,i remember feeling acutely distressed for a few days,fear
197,i feel very frustrated and very sad,anger
198,i feel that something wonderful is going to happen,joy
199,i was feeling a bit annoyed but it didnt really affect me very much,anger
200,i am feeling very unsure of my future,fear
201,i feel so happily rebellious,anger
202,i think that they pop up so automatically because seeing those pictures or people makes me feel insecure about myself,fear
203,im feeling so doubtful today,fear
204,i am feeling a little weird as i compare this big old number with how young insecure childlike playful silly i feel inside,fear
205,i no longer feel timid or insecure when i walked,fear
206,i had a go at it it said i was feeling paranoid lol,fear
207,i feel a little bit brave,joy
208,i want to be swept off my feet and feel special rather than just being told i am,joy
209,i told him that maybe i just need time to think how ive been feeling indecisive about things lately,fear
210,a gigantic spider climbed over my face and what is more in my own flat,anger
211,im feeling shaky and feverish and mad,fear
212,i am feeling hopeful and looking forward once again,joy
213,i feel the need to have one day a week for those polishes im not super jacked about,joy
214,i won t get into making excuses for the man he s a big boy and can do that for himself and his staff i walked away from red rooster feeling dissatisfied underwhelmed and confused,anger
215,i should not feel afraid we can stop shoulding all over ourselves,fear
216,i got a feeling that the hateful talk in the work place wore thin and they kept her around only for what they absolutely needed her to cover,anger
217,im feeling agitated again the usual evening mood that is becoming the norm,fear
218,i chose to go with my gut feeling i think this only amused laetshi further if i d been the easily flustered type he d have probably said something,joy
219,i met you i used to want to lock myself into a vault just to feel precious,joy
220,i feel suspicious if there is no one outside like the rapture has happened or something,fear
221,im so excited but at the same time i feel a little nervous,fear
222,i wasn t feeling reluctant because i was spending money we don t really have an ipad at x price is way out of the question,fear
223,i have also always been afraid of the cold pool but i realized that it actually doesn t feel cold after about laps,anger
224,i also find it the most challenging to wrap up a story that brings good closure and a conclusion that doesn t leave that reader feeling cheated or rushed,anger
225,i feel bitchy today its as if today i realized that i couldnt count on any of my friends anymore,anger
226,i refuse to rate the book but if she and her publisher feel snobbish then take it from me when i say jeanette winterson cannot write and essentially does not do wish to do anything with the scope to explore,anger
227,im feeling queezy and cant be bothered putting these in order so here goes,anger
228,i am feeling remotely dignified tasteful or comfortable,joy
229,im not quite sure what it is but its a feeling specially for you and its nothing hostile,anger
230,i feel but distressed is sufficient,fear
231,i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,joy
232,i feel that she should change herself and i was too timid to speak up for her except in underground murmurs,fear
233,i don t want to feel annoyed resentful or angry at the fact that he s already had the experience of having and raising kids,anger
234,i feel like i should be hated and that everything that has happened to me is what i deserve,anger
235,i always feel pressured to socialize or i get eight missed calls and some texts from my host brother in the span of an hour,fear
236,i decided for the first time in about months to try not wearing my ugly pink and black running shoes and at least feel a little bit cute going out,joy
237,i feel distraught and devastated,fear
238,i get these intrusive thoughts mostly violent ones or sometimes sexual the sexual ones make me feel really agitated not pleasant at all whereas the violent ones don t tend to bother me,fear
239,i feel very irritated and annoyed today,anger
240,i find myself feeling happy more and more and it feels so very good,joy
241,i was feeling very overwhelmed about what i was going to do about removing things from the house i am selling in maryland,fear
242,when i happen to witness some sadistic acts,anger
243,i don t want to feel the way i did with you that passionate connection when we were no longer a separate two,joy
244,i feel like i shouldnt bother people with these petty stupid little pathetic thoughts i feel like no one really would care to know what really goes on inside my head,anger
245,i feel tortured with tiredness everyday,fear
246,i feel like i have an uncomfortable limit,fear
247,i seriously considered pulling the offer and i was feeling that we rushed into it all too quickly,anger
248,i again feel like going out in a friendly and safe environment i am booking a flight to pe,joy
249,i know i said that i would get this to you guys next week however i am feeling pretty generous so ill give you guys the scoop right now,joy
250,i don t want people to feel offended by that request it could be viewed as too forward,anger
251,i think of what dharavi means for mumbai and the country if you keep the annual turnovers aside for a while i feel agitated,anger
252,i also wouldnt mind a canon d mark iii if anyone is feeling generous,joy
253,i have so much to be thankful for so to feel jealous of a skinny girl with a seemingly disposable income who is shopping at the mall seems so,anger
254,i love the porn industry and i feel satisfied and fulfilled working in it i have to say that it doesn t really bring in the big bucks,joy
255,i can feel the cold of winter,anger
256,i feel there are a lot of things that i need want must to do but always somehow got distracted got a call from my crol tl and just told her that couldnt join her as per going to the doc,anger
257,im already feeling less agitated,anger
258,i feel like i have a plan that will make me happy and allow me to help my family better in so many ways,joy
259,i was down feeling greedy and depressed,anger
260,ive seen the way serina feels strange if shes not being useful and it sure helps that the cleaner is pretty expensive and not having to pay that money would be pretty great,fear
261,ive found it has made a huge difference especially on the finger with my ring and the my skin feels so much softer and less irritated,anger
262,i have had my first visitor to my live journal and that makes me feel very pleasant,joy
263,i feel strange out of sorts and i wont resort to this again,fear
264,i can feel this really effecting my attitude toward her i feel bitter and angry,anger
265,i feel so heartless sometimes because i do not have the ability to mourn for the lost of someone relating to my past grandparents,anger
266,my sister once stole my mothers money and made her very angry after this my mother would beat her up for unreasonable reasons one day my sister lent her book to a friend without telling my mother about it when my mother learnt this she beat her up and even threatened her with a pair of scissors,anger
267,im creature of feelings i evaluate life on my feelings dangerous,anger
268,i feel terribly unkind to say it span style font size,anger
269,i was down and feeling doubtful,fear
270,i leave his words feeling doubtful of the naight ever ending,fear
271,i know i feel personally offended by this on so many levels,anger
272,i was feeling and i said impatient,anger
273,i do feel though that its pretty dangerous to try to apply only one strategy to a match,anger
274,i feel sooo bitchy that i made out with devin,anger
275,i feel threatened by not talking about it,fear
276,i was feeling quite something im not sure,joy
277,i really dont like attention because i feel pressured to think about a topic and talk,fear
278,i am by no means complete spiritually or intellectually and believe you never should be however i find myself sometimes looking on others with a knowledge and sense of feeling superior in feeling that i am further along my journey than them,joy
279,i wonder how they would feel if someone was screaming at them and then saying horribly rude things behind their back later,anger
280,im doing things that make me feel brave and strong i have a a href http derfwadmanor,joy
281,i read several pages and still feel unsure i feel i ve wasted my time and can t engage with the main argument,fear
282,i remember feeling inspired and thinking that it was a fine example of parenting,joy
283,i always feel very threatened by her when it comes to guys cox you no she gets a lot of contact with the guys i like like my first and bf,fear
284,i hope to god it is a false reading because i feel so unprotected without him,fear
285,i arrived at the monastery one week later i was feeling terrified,fear
286,i absolutely refuse to feel insecure about how i look anymore,fear
287,i am feeling very fearful that things arent going to go the way i want them to with my ex,fear
288,i feel bashful discussing it i m a closet gamer if you will and yet millions of people from all around the world are doing the same thing,fear
289,i feel disgusted with my body,anger
290,ive always been very nervous to do something like that as i feel like i am not really that talented to enter something into an official contest,joy
291,im going to be talking a bit about how i feel about the important role of the fan in this wonderful game we call music,joy
292,i am going to be a little selective about who i let read just for privacys sake but if you can relate to me why you want to read and if i feel your motivations are safe and okay then i will send you an invite,joy
293,i feel very rich very blessed very joyful,joy
294,i woke up feeling cranky this morning,anger
295,i was feeling so spiteful i brought it up and i saw the hurt in his face,anger
296,i get the feeling that my supervising teacher is overwhelmed and may have too many students,fear
297,i feel uncomfortable and slobby,fear
298,i no longer have that angst inside me the kind of yelping passion and feeling of being wronged or what have you that drove my initial connection to emo,anger
299,i want every woman to feel the kind of love from god that sheri shares in her letters from the king and i am positive that she does too,joy
300,im also feeling more shaky in my confidence in my faith but at the same time i feel like im growing spiritually a lot and also growing a lot in my understanding of the world around me,fear
301,i feel like offended with such question,anger
302,i finally realized that all i needed was to be and feel useful and blogging allowed me to do that,joy
303,i start i feel like i should reiterate a fact that im not sure ive made clear yet just because i post all these despondent incidents on mermaidhaire does not mean that i am sad like all the time,joy
304,i feel like dlk could make a pretty sweet full length,joy
305,while cycling in the country,fear
306,i feel so honored and grateful that these wonderful people have entrusted us with this beautiful boy as our son,joy
307,i feel those memories are precious and i am so glad i have them,joy
308,i just cant seem to hold myself back when it comes to feeling i wish i could be heartless if just to keep the pain away sigh whatever here i am being fucking emo all over my live journal,anger
309,i feel pressured to talk to them,fear
310,i feel special now its just fun to say lol amvassago of the i just cant stop laughing when ever i read something and then i see beefy amkris toshibalol amits an epic word so is beef cake amvassago of the nooo,joy
311,i feel more energetic and motivated,joy
312,i feel the eyes on me the hateful eyes on the other side of the glass that belong to the family members of my beautiful victims,anger
313,i guess you could say i am teeter totering right now on the edge and i feel like im dangerous,anger
314,i feel a whisper a friendly voice start to rise indulge until your hearts content and pay no mind,joy
315,i have a feeling of being scared but also knowing that i am in for some really big changes in my mind body and spirit,fear
316,i feel pretty eager to get it done as i have a fun plan for quilting it,joy
317,i feel less agitated but a bit more sad sometimes,anger
318,i continue to succeed in something and having someone seems unattainable because i feel men will be intimidated or when there is a prolonged moment of silence,fear
319,i go to little tiny andover and take a walk at night i feel absolutely terrified,fear
320,i got the feeling that the person on the other end hated me,anger
321,i was feeling a bit casual and put on a plain tank top with loose bottoms i got from zara,joy
322,i feel weird a href http bondmusings,fear
323,i have lost touch with the things that i feel passionate about i am getting less spontaneous am living by lists urgh,joy
324,im feeling slightly optimistic,joy
325,i write which is what i consider my real profession even though by teaching poetry to troubled and poor kids i feel i m doing something useful,joy
326,i still feel tortured by feelings or thoughts or memories,fear
327,i feel strange being thankful when such awful things on the other sides of the oceans that surround that country happen on a daily basis,fear
328,i feel like i am being obnoxious by posting every three seconds,anger
329,i alight in front of the hotel i can feel the bellmen s appreciative glances,joy
330,i no raphael says grasping for his usual eloquence and feeling it slip from his fingers with spiteful ease,anger
331,i feel relaxed and comfortable,joy
332,i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,anger
333,i didnt feel angry i didnt feel bitter i felt,anger
334,i have been feeling a strong ability to step out of my mind,joy
335,i feel many petty people have judged me simply because i may be one,anger
336,i feel virtuous as ive already done more on it this week than i have for several months,joy
337,i an expert on feeling rushed and anxious on getting worked up and frustrated because i feel overwhelmed with my job,anger
338,i started feeling doubtful so i just sat in my seat disappointed,fear
339,i feel shaken by it and im far far above the age group targeted,fear
340,i feel threatened i feel fear,fear
341,i am feeling a little uncertain about my skills in the birthday party arena,fear
342,i am thrilled for a lot of these things i feel petrified,fear
343,i always feel intimidated by other people especially when they always compare me to other people ever since i was young,fear
344,i seriously hate one subject to death but now i feel reluctant to drop it,fear
345,i do these days that makes me feel a little uncertain about the future the pressures that pierce me deep the feeling of being completely isolated from the world i used to glory in and all the thrills that go with it,fear
346,i inquire incheswhyinches are people relocating droves about what they feel is security in precious metal,joy
347,i feel pleased about this issue there are a lot of beautiful pieces in it for example maggie lees poem titled a href http vol,joy
348,i don t feel frustrated anymore from the fierce us media campaign against egypt because the more they attack us the more we know that we are on the right track,anger
349,i feel like i ve been welcomed a tight knit family who ll make sure i won t feel alone ever,joy
350,im feeling at my creative best rather than that of a student who has a deadline to meet,joy
351,i feel a bit tortured right now,fear
352,i hate that feeling when im about to do something then i get scared and almost turn around and walk away,fear
353,i have not spent that much time with them but i just don t feel that comfortable there,joy
354,i feel rich indeed,joy
355,i cant shake off my feelings of being offended and hurt no matter how hard i try and the conversation keeps consuming my every thought,anger
356,i feel pretty officer krupke and somewhere,joy
357,i would feel fearful of being killed by other mistresses,fear
358,i am feeling irate,anger
359,i found myself feeling shaky and dizzy while i exercised and a part of my weight loss could have been due to getting a throat infection,fear
360,i get to pursue things that spark my curiosity and make me feel useful,joy
361,i remember when this was all feels the most generous place for charitable donations in the uk is andover thats the last sodding time im having dinner here at the nuclear plant staff canteen,joy
362,i am feeling a tad smug right now,joy
363,i have that spring fling feeling again and like a flower unfurling my artistic soul is ready for some sunshine,joy
364,i wish gervase would have piped down so id feel a little less vulnerable right now,fear
365,i cant seem to command it a feeling im sure anyone can relate to,joy
366,i had gone to the cumberland earlier that week so had met a few of n amp h friends prior to the weekend which was really lovely as since moving away i feel there are so many wonderful people i don t know,joy
367,i was feeling paranoid as fuck thinking people would be out looking for me,fear
368,i take the offense that is most frightening to me when i am feeling the most vulnerable in close relationships with others and i draw that offense and all my frightful vulnerability into the love of god into the mercy seat that fills me full,fear
369,i didnt know whether or not to feel flattered or some sort of disgusted,anger
370,i was feeling mad,anger
371,im going to be after the birth of this baby feels shaky,fear
372,i have every right to feel outraged that their legacy may be in danger,anger
373,i dont like the way i feel when i am angry,anger
374,i felt disgust of dirty,anger
375,i can get away these days with the gag line when i feel like being sarcastic that i feel sorry for anyone who wasn t fortunate enough to be born mexican,anger
376,i am feeling brave and lucky kind of like my heart is breaking and im falling in love all at the same time,joy
377,i was feeling frustrated at work wondering if i am living a life with meaning and purpose,anger
378,i feel fearful and then actually do that one thing it usually turns out to be a good thing,fear
379,i feel so vulnerable,fear
380,i have to admit to feeling pretty envious of the commuters there a south african summer has got to be a tad more reliable than a british one,anger
381,at one of my close friends saying she didnt like the way i am nice to people i dont know,anger
382,i asked feeling smug,joy
383,i cant do either of these things so i end up trying my hardest to suppress these feelings which makes me irritable and is very tiring,anger
384,i feel like a proud mother watching their child grow and develop into an adult and quite seriously my business is like a child to me,joy
385,i feel glad to be teaching nursery children who have special needs and know that the study of art has better helped me to use art in the curriculum to make lessons more enjoyable and interesting for the pupils,joy
386,i feel equally wronged,anger
387,waiting for my girlfriend to come from her apt to mine she was very late and i thought something awful had happened,fear
388,i feel like i cant afford to be afraid to show that i am sometimes weak to allow others to see me as anything less than the strong wife and mom that i feel i am,fear
389,i just feel terrified like im on the edge of a precipice staring ahead,fear
390,i feel more energetic than i have in years,joy
391,i feel this strategy is worthwhile,joy
392,i was feeling pretty triumphant i had held a little conversation with the cashier and she didn t realize i was deaf,joy
393,i feel hateful of everything suddenly,anger
394,i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,anger
395,i feel greedy part comes in,anger
396,im feeling rather impatient with these rainbows bursting in my veins,anger
397,i feel uncomfortable when i wear lenses that are not brown but these lenses make me want to get more blue lenses,fear
398,im excited to get home and spend time with everyone please feel free to email call or text and let me know if youre available for dinner or coffee or anything,joy
399,i really am feeling so impatient,anger
400,i have the distinct sickening feeling he paused glancing up at kakashi and the rest of his eager audience that i m going to regret this,joy
401,a study visit to a chicken factory the butchery,anger
402,i can genuinely say from the bottom of my heart that i feel absolutely thankful,joy
403,i feel so paranoid and im really gonna cut down the hours and frequencies of me wearing contact lenses,fear
404,i feel that cold breeze,anger
405,i feel really honored that i could experience the brazilian public healthcare system from the inside,joy
406,i have just had such a crappy week that i am still feeling all agitated and like the day wasn t what i wanted,fear
407,i get a little twitchy when i feel like someone is depending on me and i have to have a flawless job done in the end,joy
408,i think the sooner we do the better well all feel greg im already in a distressed mood mom,fear
409,i for one sit and stare at a blank computer screen for a while scratch my head a few times drink a couple pots of coffee and then feel triumphant once i write my first sentence and that first sentence usually consists of a poop joke,joy
410,i am feeling so nothing that i am not even getting agitated anymore,anger
411,i couldn t help but feel personally insulted when oscar denounced the very idea as grotesque and unrealistic,anger
