ID,target
378,fear
379,fear
380,fear
381,fear
382,fear
383,fear
384,fear
385,fear
386,fear
387,fear
388,fear
389,fear
390,fear
391,fear
392,fear
393,fear
394,fear
395,fear
396,fear
397,fear
398,fear
399,fear
400,fear
401,fear
402,fear
403,fear
404,fear
405,fear
406,fear
407,fear
408,fear
409,fear
410,fear
411,fear
412,fear
413,fear
414,fear
415,fear
416,fear
417,fear
418,fear
419,fear
420,fear
421,fear
422,fear
423,fear
424,fear
425,fear
426,fear
427,fear
428,fear
429,fear
430,fear
431,fear
432,fear
433,fear
434,fear
435,fear
436,fear
437,fear
438,fear
439,fear
440,fear
441,fear
442,fear
443,fear
444,fear
445,fear
446,fear
447,fear
448,fear
449,fear
450,fear
451,fear
452,fear
453,fear
454,fear
455,fear
456,fear
457,fear
458,fear
459,fear
460,fear
461,fear
462,fear
463,fear
464,fear
465,fear
466,fear
467,fear
468,fear
469,fear
470,fear
471,fear
472,fear
473,fear
474,fear
475,fear
476,fear
477,fear
478,fear
479,fear
480,fear
481,fear
482,fear
483,fear
484,fear
485,fear
486,fear
487,fear
488,fear
489,fear
490,fear
491,fear
492,fear
493,fear
494,fear
495,fear
496,fear
497,fear
498,fear
499,fear
500,fear
501,fear
502,fear
503,fear
504,fear
505,fear
506,fear
507,fear
508,fear
509,fear
510,fear
511,fear
512,fear
513,fear
514,fear
515,fear
516,fear
517,fear
518,fear
519,fear
520,fear
521,fear
522,fear
523,fear
524,fear
525,fear
526,fear
527,fear
528,fear
529,fear
530,fear
531,fear
532,fear
533,fear
534,fear
535,fear
536,fear
537,fear
538,fear
539,fear
540,fear
541,fear
542,fear
543,fear
544,fear
545,fear
546,fear
547,fear
548,fear
549,fear
550,fear
551,fear
552,fear
553,fear
554,fear
555,fear
556,fear
557,fear
558,fear
559,fear
560,fear
561,fear
562,fear
563,fear
564,fear
565,fear
566,fear
567,fear
568,fear
569,fear
570,fear
571,fear
572,fear
573,fear
574,fear
575,fear
576,fear
577,fear
578,fear
579,fear
580,fear
581,fear
582,fear
583,fear
584,fear
585,fear
586,fear
587,fear
588,fear
589,fear
590,fear
591,fear
592,fear
593,fear
594,fear
